x,stress,truck_position,source,position
[m],[MPa],[-],[-],[-]
-0.322,0.12494999999999976,right,measurement,H1_S
-0.20165909090909032,0.10373999999999994,right,measurement,H1_S
-0.08131818181818062,0.1295700000000039,right,measurement,H1_S
0.039022727272729096,0.2215500000000014,right,measurement,H1_S
0.15936363636363876,0.3782100000000034,right,measurement,H1_S
0.2797045454545484,0.6014400000000009,right,measurement,H1_S
0.4000454545454582,0.7814100000000007,right,measurement,H1_S
0.5203863636363679,0.9865800000000016,right,measurement,H1_S
0.6407272727272775,1.1535300000000048,right,measurement,H1_S
0.7610681818181873,1.3055700000000028,right,measurement,H1_S
0.8814090909090968,1.4114100000000007,right,measurement,H1_S
1.0017500000000066,1.41624,right,measurement,H1_S
1.1220909090909164,1.31124,right,measurement,H1_S
1.242431818181826,1.2190500000000013,right,measurement,H1_S
1.3627727272727357,1.1203500000000017,right,measurement,H1_S
1.4831136363636452,1.0071600000000043,right,measurement,H1_S
1.603454545454555,0.974400000000003,right,measurement,H1_S
1.7237954545454648,1.0212300000000059,right,measurement,H1_S
1.8441363636363746,1.0924200000000055,right,measurement,H1_S
1.964477272727284,1.2398399999999992,right,measurement,H1_S
2.0848181818181937,1.4882700000000035,right,measurement,H1_S
2.2051590909091034,1.7234700000000045,right,measurement,H1_S
2.3255000000000132,1.9576200000000006,right,measurement,H1_S
2.445840909090923,2.181900000000003,right,measurement,H1_S
2.5661818181818328,2.495640000000003,right,measurement,H1_S
2.686522727272742,2.657760000000001,right,measurement,H1_S
2.806863636363652,2.7474300000000054,right,measurement,H1_S
2.9272045454545617,2.9280300000000024,right,measurement,H1_S
3.0475454545454714,2.8795200000000034,right,measurement,H1_S
3.167886363636381,2.646420000000001,right,measurement,H1_S
3.2882272727272905,2.5823700000000054,right,measurement,H1_S
3.4085681818182003,2.579639999999998,right,measurement,H1_S
3.52890909090911,2.576070000000005,right,measurement,H1_S
3.64925000000002,2.676660000000002,right,measurement,H1_S
3.7695909090909296,2.8259700000000043,right,measurement,H1_S
3.8899318181818394,3.159450000000003,right,measurement,H1_S
4.010272727272749,3.570839999999998,right,measurement,H1_S
4.130613636363659,3.844050000000001,right,measurement,H1_S
4.250954545454568,4.144350000000003,right,measurement,H1_S
4.371295454545478,4.483080000000003,right,measurement,H1_S
4.491636363636387,4.6876200000000035,right,measurement,H1_S
4.611977272727297,4.832310000000002,right,measurement,H1_S
4.732318181818207,4.967339999999999,right,measurement,H1_S
4.852659090909117,4.856670000000002,right,measurement,H1_S
4.9730000000000265,4.889640000000001,right,measurement,H1_S
5.093340909090936,4.9602,right,measurement,H1_S
5.213681818181846,4.8930000000000025,right,measurement,H1_S
5.334022727272756,4.911270000000003,right,measurement,H1_S
5.454363636363666,5.0076600000000004,right,measurement,H1_S
5.5747045454545745,5.238030000000002,right,measurement,H1_S
5.695045454545484,5.57319,right,measurement,H1_S
5.815386363636394,5.892180000000004,right,measurement,H1_S
5.935727272727304,6.297900000000002,right,measurement,H1_S
6.056068181818214,6.76515,right,measurement,H1_S
6.176409090909123,7.154910000000002,right,measurement,H1_S
6.296750000000033,7.535010000000002,right,measurement,H1_S
6.417090909090943,7.7437499999999995,right,measurement,H1_S
6.537431818181853,7.876050000000002,right,measurement,H1_S
6.6577727272727625,7.927499999999999,right,measurement,H1_S
6.778113636363671,8.019060000000001,right,measurement,H1_S
6.898454545454581,8.10096,right,measurement,H1_S
7.018795454545491,8.317890000000002,right,measurement,H1_S
7.139136363636401,8.487570000000003,right,measurement,H1_S
7.2594772727273105,8.729700000000001,right,measurement,H1_S
7.37981818181822,9.137730000000003,right,measurement,H1_S
7.50015909090913,9.452730000000004,right,measurement,H1_S
7.62050000000004,9.824010000000001,right,measurement,H1_S
7.74084090909095,10.184790000000001,right,measurement,H1_S
7.861181818181859,10.314150000000001,right,measurement,H1_S
7.981522727272769,10.521420000000003,right,measurement,H1_S
8.10186363636368,10.74591,right,measurement,H1_S
8.22220454545459,10.790220000000003,right,measurement,H1_S
8.3425454545455,10.91391,right,measurement,H1_S
8.46288636363641,10.892280000000005,right,measurement,H1_S
8.583227272727319,10.9053,right,measurement,H1_S
8.703568181818227,11.099760000000002,right,measurement,H1_S
8.823909090909137,11.23815,right,measurement,H1_S
8.944250000000046,11.480910000000002,right,measurement,H1_S
9.064590909090956,11.878230000000004,right,measurement,H1_S
9.184931818181866,12.198480000000004,right,measurement,H1_S
9.305272727272776,12.718230000000004,right,measurement,H1_S
9.425613636363686,13.313370000000004,right,measurement,H1_S
9.545954545454595,13.719090000000001,right,measurement,H1_S
9.666295454545505,14.086170000000003,right,measurement,H1_S
9.786636363636415,14.364420000000003,right,measurement,H1_S
9.906977272727325,14.48286,right,measurement,H1_S
10.027318181818234,14.601510000000001,right,measurement,H1_S
10.147659090909144,14.605500000000001,right,measurement,H1_S
10.268000000000054,14.501550000000002,right,measurement,H1_S
10.388340909090964,14.458080000000002,right,measurement,H1_S
10.508681818181874,14.524020000000004,right,measurement,H1_S
10.629022727272783,14.694960000000002,right,measurement,H1_S
10.749363636363693,14.868840000000002,right,measurement,H1_S
10.869704545454603,15.106770000000003,right,measurement,H1_S
10.990045454545513,15.435840000000004,right,measurement,H1_S
11.110386363636422,15.848700000000003,right,measurement,H1_S
11.230727272727332,16.26009,right,measurement,H1_S
11.35106818181824,16.660980000000002,right,measurement,H1_S
11.47140909090915,16.959390000000003,right,measurement,H1_S
11.59175000000006,17.26011,right,measurement,H1_S
11.71209090909097,17.579520000000002,right,measurement,H1_S
11.83243181818188,17.77335,right,measurement,H1_S
11.952772727272789,17.9004,right,measurement,H1_S
12.073113636363699,18.07764,right,measurement,H1_S
12.193454545454609,18.218340000000005,right,measurement,H1_S
12.313795454545518,18.45858,right,measurement,H1_S
12.434136363636428,18.710790000000003,right,measurement,H1_S
12.554477272727338,18.9315,right,measurement,H1_S
12.674818181818248,19.239570000000004,right,measurement,H1_S
12.795159090909157,19.602240000000005,right,measurement,H1_S
12.915500000000067,19.91283,right,measurement,H1_S
13.035840909090977,20.221110000000003,right,measurement,H1_S
13.156181818181887,20.4204,right,measurement,H1_S
13.276522727272797,20.53695,right,measurement,H1_S
13.396863636363706,20.65644,right,measurement,H1_S
13.517204545454616,20.7396,right,measurement,H1_S
13.637545454545526,20.825490000000002,right,measurement,H1_S
13.757886363636436,20.91264,right,measurement,H1_S
13.878227272727344,21.119490000000003,right,measurement,H1_S
13.998568181818253,21.404460000000004,right,measurement,H1_S
14.118909090909163,21.728490000000004,right,measurement,H1_S
14.239250000000073,22.14765,right,measurement,H1_S
14.359590909090983,22.522080000000003,right,measurement,H1_S
14.479931818181893,22.83015,right,measurement,H1_S
14.600272727272802,23.21571,right,measurement,H1_S
14.720613636363712,23.566830000000003,right,measurement,H1_S
14.840954545454622,23.84844,right,measurement,H1_S
14.961295454545532,24.04143,right,measurement,H1_S
15.081636363636441,24.1143,right,measurement,H1_S
15.201977272727351,24.136770000000002,right,measurement,H1_S
15.322318181818261,24.193260000000002,right,measurement,H1_S
15.44265909090917,24.247020000000003,right,measurement,H1_S
15.56300000000008,24.3075,right,measurement,H1_S
15.68334090909099,24.470670000000002,right,measurement,H1_S
15.8036818181819,24.810029999999998,right,measurement,H1_S
15.92402272727281,25.2777,right,measurement,H1_S
16.04436363636372,25.812990000000003,right,measurement,H1_S
16.16470454545463,26.31636,right,measurement,H1_S
16.28504545454554,26.756940000000004,right,measurement,H1_S
16.40538636363645,27.13641,right,measurement,H1_S
16.52572727272736,27.453300000000002,right,measurement,H1_S
16.64606818181827,27.59379,right,measurement,H1_S
16.76640909090918,27.58014,right,measurement,H1_S
16.886750000000088,27.496980000000004,right,measurement,H1_S
17.007090909090998,27.471149999999998,right,measurement,H1_S
17.127431818181908,27.51273,right,measurement,H1_S
17.247772727272817,27.638310000000004,right,measurement,H1_S
17.368113636363727,27.868260000000003,right,measurement,H1_S
17.488454545454637,28.287000000000003,right,measurement,H1_S
17.608795454545547,28.869750000000003,right,measurement,H1_S
17.729136363636453,29.49555,right,measurement,H1_S
17.849477272727363,30.152220000000003,right,measurement,H1_S
17.969818181818273,30.699690000000004,right,measurement,H1_S
18.090159090909182,31.09134,right,measurement,H1_S
18.210500000000092,31.37799,right,measurement,H1_S
18.330840909091002,31.49118,right,measurement,H1_S
18.45118181818191,31.44519,right,measurement,H1_S
18.57152272727282,31.290840000000003,right,measurement,H1_S
18.69186363636373,31.01406,right,measurement,H1_S
18.81220454545464,30.74925,right,measurement,H1_S
18.93254545454555,30.70305,right,measurement,H1_S
19.05288636363646,30.809520000000003,right,measurement,H1_S
19.17322727272737,30.97521,right,measurement,H1_S
19.29356818181828,31.397310000000004,right,measurement,H1_S
19.41390909090919,31.950660000000003,right,measurement,H1_S
19.5342500000001,32.57835,right,measurement,H1_S
19.65459090909101,33.20331,right,measurement,H1_S
19.77493181818192,33.69198,right,measurement,H1_S
19.89527272727283,33.9339,right,measurement,H1_S
20.01561363636374,34.016009999999994,right,measurement,H1_S
20.13595454545465,33.942299999999996,right,measurement,H1_S
20.25629545454556,33.773250000000004,right,measurement,H1_S
